"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"149","Semillero de Proyectos: Una plataforma que conecta proyectos con interesados #HackathonPosadas https://t.co/R8eOAP86xH",FALSE,0,NA,2017-05-28 20:12:46,FALSE,NA,"868923021251182592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",0,FALSE,FALSE,NA,NA
"150","5to proyecto: Semillero de Proyectos #HackathonPosadas https://t.co/OX0AaN424w",FALSE,0,NA,2017-05-28 20:10:30,FALSE,NA,"868922450377093120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",0,FALSE,FALSE,NA,NA
"151","RT @soymotta: Momemtos definitorios de la #hackathonposadas! 
#hackathon #innovacion #innovation https://t.co/hfpAu16Tby",FALSE,0,NA,2017-05-28 20:08:25,FALSE,NA,"868921923954245632",NA,"<a href=""http://www.ehwiederbeste.de"" rel=""nofollow"">EhWiederBeste</a>","BSBot01",6,TRUE,FALSE,NA,NA
"152","Momemtos definitorios de la #hackathonposadas! 
#hackathon #innovacion #innovation https://t.co/hfpAu16Tby",FALSE,5,NA,2017-05-28 20:07:18,FALSE,NA,"868921643602759681",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","soymotta",6,FALSE,FALSE,NA,NA
"153","RT @CMArzamendiA: #hackathonposadas : Los jueces evalúan los proyectos innovadores para la ciudad de Posadas @losadajoaquin @pepivillalba h…",FALSE,0,NA,2017-05-28 20:06:54,FALSE,NA,"868921542528434179",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nicogodoy1205",8,TRUE,FALSE,NA,NA
"154","4to proyecto: Disertación de integrante del grupo Benitez Marcos #HackathonPosadas https://t.co/QAiSOljtWU",FALSE,0,NA,2017-05-28 20:06:20,FALSE,NA,"868921400693841921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",0,FALSE,FALSE,NA,NA
"155","4to Proyecto: Tour interactivo - Cartel inteligente para turistas #HackathonPosadas https://t.co/QZClZZiyiE",FALSE,0,NA,2017-05-28 20:03:24,FALSE,NA,"868920665021317120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",0,FALSE,FALSE,NA,NA
"156","RT @CMArzamendiA: #hackathonposadas : Los jueces evalúan los proyectos innovadores para la ciudad de Posadas @losadajoaquin @pepivillalba h…",FALSE,0,NA,2017-05-28 20:03:07,FALSE,NA,"868920590375288832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","veronicaifran",8,TRUE,FALSE,NA,NA
"157","#hackathonposadas : Los jueces evalúan los proyectos innovadores para la ciudad de Posadas @losadajoaquin… https://t.co/u6uyIIaH7C",FALSE,9,NA,2017-05-28 20:00:40,TRUE,NA,"868919974001246208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CMArzamendiA",8,FALSE,FALSE,NA,NA
"158","#Hackathonposadas los equipos presentan sus proyectos de innovación ciudadana! @losadajoaquin @pepivillalba https://t.co/C96w49bGY5",FALSE,11,NA,2017-05-28 19:58:55,FALSE,NA,"868919533410582528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CMArzamendiA",7,FALSE,FALSE,NA,NA
"159","3er Proyecto: Una #Posadas más limpia y ecológica. #HackathonPosadas (Prototipo) https://t.co/xJ9Py9z9BJ",FALSE,4,NA,2017-05-28 19:58:14,FALSE,NA,"868919362991861760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",4,FALSE,FALSE,NA,NA
"160","3er Proyecto: Una ciudad limpia libre de residuos. #HackathonPosadas https://t.co/q4M961HSDF",FALSE,2,NA,2017-05-28 19:54:18,FALSE,NA,"868918372670615556",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",3,FALSE,FALSE,NA,NA
"161","2do proyecto Guataha (viaje) : presentando el juego @posadastech #HackathonPosadas https://t.co/rjd946GZNB",FALSE,0,NA,2017-05-28 19:51:02,FALSE,NA,"868917550335348736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kickebarrios",0,FALSE,FALSE,NA,NA
"162","Guataha: Aplicación interactiva para conocer la ciudad (Demo) #HackathonPosadas https://t.co/cRHbSCbfwd",FALSE,1,NA,2017-05-28 19:47:22,FALSE,NA,"868916629509373955",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",1,FALSE,FALSE,NA,NA
"163","2do proyecto. Una aplicación interactiva para conocer la ciudad #HackathonPosadas https://t.co/ayzOW87Kkm",FALSE,0,NA,2017-05-28 19:44:55,FALSE,NA,"868916012539928577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",1,FALSE,FALSE,NA,NA
"164","RT @kickebarrios: 1er proyecto Cultura y turismo: proceso de experiencia y satisfacción. @posadastech #HackathonPosadas https://t.co/oPnBsk…",FALSE,0,NA,2017-05-28 19:42:04,FALSE,NA,"868915294760300546",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",1,TRUE,FALSE,NA,NA
"165","2do proyecto Guataha (viaje) : juego interactivo para turistas que visitan la ciudad. @posadastech #HackathonPosadas https://t.co/NhZ1IEbtb4",FALSE,1,NA,2017-05-28 19:41:23,FALSE,NA,"868915123414593536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kickebarrios",0,FALSE,FALSE,NA,NA
"166","Ya empezamos las exposiciones!! #HackathonPosadas https://t.co/txX3iMKHQs",FALSE,0,NA,2017-05-28 19:39:27,FALSE,NA,"868914633876398081",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",0,FALSE,FALSE,NA,NA
"167","1er proyecto Cultura y turismo: proceso de experiencia y satisfacción. @posadastech #HackathonPosadas https://t.co/oPnBskePz0",FALSE,3,NA,2017-05-28 19:37:09,FALSE,NA,"868914057973288960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kickebarrios",1,FALSE,FALSE,NA,NA
"168","RT @tamagodoy: #HackathonPosadas Innovación Ciudadana @muniposadas https://t.co/pU7gYnqn36",FALSE,0,NA,2017-05-28 19:06:39,FALSE,NA,"868906380849295361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Terrobesa",1,TRUE,FALSE,NA,NA
"169","Los evaluadores charlando con los grupos #HackathonPosadas https://t.co/rAxw79uu0l",FALSE,0,NA,2017-05-28 18:36:38,FALSE,NA,"868898826656067584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",0,FALSE,FALSE,NA,NA
"170","No te pierdas la presentación de los proyectos de #HackathonPosadas. Aún estas a tiempo!! https://t.co/HaN5GUDURd",FALSE,0,NA,2017-05-28 18:28:18,FALSE,NA,"868896730154242049",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",0,FALSE,FALSE,NA,NA
"171","Los evaluadores ya se encuentran presentes para ver los proyectos #HackathonPosadas @losadajoaquin @CMArzamendiA https://t.co/7OBFuDhv4Y",FALSE,0,NA,2017-05-28 18:26:04,FALSE,NA,"868896169539272705",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",0,FALSE,FALSE,NA,NA
"172","Se trabaja todos conectados! Minutos claves!! @CMArzamendiA @losadajoaquin  #HackathonPosadas https://t.co/gI0H83IAuZ",FALSE,0,NA,2017-05-28 18:22:43,FALSE,NA,"868895326966616065",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",0,FALSE,FALSE,NA,NA
