"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"164","RT @posadastech: Buen día #Posadas !! #HackathonPosadas https://t.co/YFmrRHhgSM",FALSE,0,NA,2017-05-27 21:04:11,FALSE,NA,"868573572792451078",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","SaraHaydeCibils",8,TRUE,FALSE,NA,NA
"165","RT @posadastech: Estas imágenes son un resumen de las primeras horas del evento #HackathonPosadas, compartilas o dale #RT! https://t.co/B9R…",FALSE,0,NA,2017-05-27 21:04:07,FALSE,NA,"868573555923050496",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","SaraHaydeCibils",9,TRUE,FALSE,NA,NA
"166","RT @posadastech: Mañana lluviosa de sábado. Hoy #HackathonPosadas continúa!! https://t.co/FkCJVf3hoO",FALSE,0,NA,2017-05-27 21:04:00,FALSE,NA,"868573524646121474",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","SaraHaydeCibils",9,TRUE,FALSE,NA,NA
"167","RT @posadastech: #HackathonPosadas de madrugada seguimos! Compañía? Que no falte!! https://t.co/5gxl5BccQw",FALSE,0,NA,2017-05-27 21:03:02,FALSE,NA,"868573283523887104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kasandrads14",4,TRUE,FALSE,NA,NA
"168","RT @posadastech: #HackathonPosadas de madrugada seguimos con la mejor compañía! https://t.co/Wgjo8lk5u5",FALSE,0,NA,2017-05-27 21:03:00,FALSE,NA,"868573273885478912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kasandrads14",8,TRUE,FALSE,NA,NA
"169","RT @posadastech: Ya paso la primera noche de #HackathonPosadas !! Buscando soluciones innovadoras https://t.co/VP6j8nk0Aw",FALSE,0,NA,2017-05-27 21:02:56,FALSE,NA,"868573257091436544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kasandrads14",9,TRUE,FALSE,NA,NA
"170","RT @posadastech: Mañana lluviosa de sábado. Hoy #HackathonPosadas continúa!! https://t.co/FkCJVf3hoO",FALSE,0,NA,2017-05-27 21:02:53,FALSE,NA,"868573246333095938",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kasandrads14",9,TRUE,FALSE,NA,NA
"171","RT @posadastech: Estas imágenes son un resumen de las primeras horas del evento #HackathonPosadas, compartilas o dale #RT! https://t.co/B9R…",FALSE,0,NA,2017-05-27 21:02:49,FALSE,NA,"868573227148349441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kasandrads14",9,TRUE,FALSE,NA,NA
"172","RT @posadastech: Buen día #Posadas !! #HackathonPosadas https://t.co/YFmrRHhgSM",FALSE,0,NA,2017-05-27 21:02:46,FALSE,NA,"868573216410931201",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kasandrads14",8,TRUE,FALSE,NA,NA
"173","RT @posadastech: Ya paso la primera noche de #HackathonPosadas !! Buscando soluciones innovadoras https://t.co/VP6j8nk0Aw",FALSE,0,NA,2017-05-27 21:01:50,FALSE,NA,"868572980267413507",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","SaraHaydeCibils",9,TRUE,FALSE,NA,NA
